"id","lab","taskorder","timing","age","mcorrect","frequency"
"Bristol_2005","Bristol","first","delayed","6yo",3,"sometimes"
"Bristol_2005","Bristol","point-and-name","point-and-name","6yo",2,"sometimes"
"Bristol_2005","Bristol","second","immediate","6yo",3,"sometimes"
"Bristol_2006","Bristol","first","immediate","6yo",4,"never"
"Bristol_2006","Bristol","point-and-name","point-and-name","6yo",3,"never"
"Bristol_2006","Bristol","second","delayed","6yo",3,"never"
"Bristol_2007","Bristol","first","delayed","6yo",2,"usually"
"Bristol_2007","Bristol","point-and-name","point-and-name","6yo",3,"usually"
"Bristol_2007","Bristol","second","immediate","6yo",3,"usually"
"Bristol_2008","Bristol","first","delayed","6yo",3,"sometimes"
"Bristol_2008","Bristol","point-and-name","point-and-name","6yo",2,"sometimes"
"Bristol_2008","Bristol","second","immediate","6yo",3,"sometimes"
"Bristol_2009","Bristol","first","delayed","6yo",2,"usually"
"Bristol_2009","Bristol","point-and-name","point-and-name","6yo",4,"usually"
"Bristol_2009","Bristol","second","immediate","6yo",3,"usually"
"Bristol_3001","Bristol","first","immediate","7yo",2,"usually"
"Bristol_3001","Bristol","point-and-name","point-and-name","7yo",3,"usually"
"Bristol_3001","Bristol","second","delayed","7yo",1,"usually"
"Bristol_3002","Bristol","first","delayed","7yo",4,"usually"
"Bristol_3002","Bristol","point-and-name","point-and-name","7yo",2,"usually"
"Bristol_3002","Bristol","second","immediate","7yo",5,"usually"
"Bristol_3003","Bristol","first","delayed","7yo",2,"usually"
"Bristol_3003","Bristol","point-and-name","point-and-name","7yo",3,"usually"
"Bristol_3003","Bristol","second","immediate","7yo",3,"usually"
"Bristol_3004","Bristol","first","immediate","7yo",2,"usually"
"Bristol_3004","Bristol","point-and-name","point-and-name","7yo",1,"usually"
"Bristol_3004","Bristol","second","delayed","7yo",2,"usually"
"Bristol_3006","Bristol","first","delayed","7yo",2,"sometimes"
"Bristol_3006","Bristol","point-and-name","point-and-name","7yo",3,"sometimes"
"Bristol_3006","Bristol","second","immediate","7yo",4,"sometimes"
"Bristol_3007","Bristol","first","delayed","7yo",4,"usually"
"Bristol_3007","Bristol","point-and-name","point-and-name","7yo",5,"usually"
"Bristol_3007","Bristol","second","immediate","7yo",4,"usually"
"Bristol_3008","Bristol","first","immediate","7yo",4,"usually"
"Bristol_3008","Bristol","point-and-name","point-and-name","7yo",4,"usually"
"Bristol_3008","Bristol","second","delayed","7yo",3,"usually"
"Bristol_3009","Bristol","first","delayed","7yo",4,"usually"
"Bristol_3009","Bristol","point-and-name","point-and-name","7yo",5,"usually"
"Bristol_3009","Bristol","second","immediate","7yo",5,"usually"
"Bristol_3010","Bristol","first","delayed","7yo",4,"usually"
"Bristol_3010","Bristol","point-and-name","point-and-name","7yo",4,"usually"
"Bristol_3010","Bristol","second","immediate","7yo",3,"usually"
"Bristol_4001","Bristol","first","delayed","10yo",5,"usually"
"Bristol_4001","Bristol","point-and-name","point-and-name","10yo",5,"usually"
"Bristol_4001","Bristol","second","immediate","10yo",5,"usually"
"Bristol_4002","Bristol","first","immediate","10yo",4,"usually"
"Bristol_4002","Bristol","point-and-name","point-and-name","10yo",3,"usually"
"Bristol_4002","Bristol","second","delayed","10yo",3,"usually"
"Bristol_4003","Bristol","first","delayed","10yo",5,"sometimes"
"Bristol_4003","Bristol","point-and-name","point-and-name","10yo",4,"sometimes"
"Bristol_4003","Bristol","second","immediate","10yo",5,"sometimes"
"Bristol_4004","Bristol","first","immediate","10yo",4,"usually"
"Bristol_4004","Bristol","point-and-name","point-and-name","10yo",4,"usually"
"Bristol_4004","Bristol","second","delayed","10yo",5,"usually"
"Bristol_4005","Bristol","first","delayed","10yo",4,"usually"
"Bristol_4005","Bristol","point-and-name","point-and-name","10yo",4,"usually"
"Bristol_4005","Bristol","second","immediate","10yo",4,"usually"
"Bristol_4006","Bristol","first","delayed","10yo",5,"usually"
"Bristol_4006","Bristol","point-and-name","point-and-name","10yo",4,"usually"
"Bristol_4006","Bristol","second","immediate","10yo",5,"usually"
"Bristol_4007","Bristol","first","delayed","10yo",3,"never"
"Bristol_4007","Bristol","point-and-name","point-and-name","10yo",4,"never"
"Bristol_4007","Bristol","second","immediate","10yo",4,"never"
"Bristol_4008","Bristol","first","delayed","10yo",3,"usually"
"Bristol_4008","Bristol","point-and-name","point-and-name","10yo",4,"usually"
"Bristol_4008","Bristol","second","immediate","10yo",5,"usually"
"Bristol_4009","Bristol","first","delayed","10yo",4,"usually"
"Bristol_4009","Bristol","point-and-name","point-and-name","10yo",4,"usually"
"Bristol_4009","Bristol","second","immediate","10yo",4,"usually"
"Bristol_4010","Bristol","first","delayed","10yo",4,"sometimes"
"Bristol_4010","Bristol","point-and-name","point-and-name","10yo",4,"sometimes"
"Bristol_4010","Bristol","second","immediate","10yo",5,"sometimes"
"Cardiff_04","Cardiff","first","delayed","5yo",3,"usually"
"Cardiff_04","Cardiff","point-and-name","point-and-name","5yo",1,"usually"
"Cardiff_04","Cardiff","second","immediate","5yo",2,"usually"
"Cardiff_05","Cardiff","first","delayed","5yo",2,"sometimes"
"Cardiff_05","Cardiff","point-and-name","point-and-name","5yo",3,"sometimes"
"Cardiff_05","Cardiff","second","immediate","5yo",1,"sometimes"
"Cardiff_06","Cardiff","first","delayed","5yo",3,"usually"
"Cardiff_06","Cardiff","point-and-name","point-and-name","5yo",1,"usually"
"Cardiff_06","Cardiff","second","immediate","5yo",3,"usually"
"Cardiff_08","Cardiff","first","immediate","5yo",3,"sometimes"
"Cardiff_08","Cardiff","point-and-name","point-and-name","5yo",2,"sometimes"
"Cardiff_08","Cardiff","second","delayed","5yo",1,"sometimes"
"Cardiff_09","Cardiff","first","delayed","5yo",2,"usually"
"Cardiff_09","Cardiff","point-and-name","point-and-name","5yo",3,"usually"
"Cardiff_09","Cardiff","second","immediate","5yo",3,"usually"
"Cardiff_10","Cardiff","first","delayed","5yo",1,"usually"
"Cardiff_10","Cardiff","point-and-name","point-and-name","5yo",1,"usually"
"Cardiff_10","Cardiff","second","immediate","5yo",2,"usually"
"Cardiff_11","Cardiff","first","immediate","5yo",2,"never"
"Cardiff_11","Cardiff","point-and-name","point-and-name","5yo",3,"never"
"Cardiff_11","Cardiff","second","delayed","5yo",2,"never"
"Cardiff_12","Cardiff","first","delayed","5yo",2,"usually"
"Cardiff_12","Cardiff","point-and-name","point-and-name","5yo",3,"usually"
"Cardiff_12","Cardiff","second","immediate","5yo",3,"usually"
"Cardiff_13","Cardiff","first","delayed","5yo",1,"sometimes"
"Cardiff_13","Cardiff","point-and-name","point-and-name","5yo",1,"sometimes"
"Cardiff_13","Cardiff","second","immediate","5yo",1,"sometimes"
"Cardiff_14","Cardiff","first","delayed","6yo",2,"usually"
"Cardiff_14","Cardiff","point-and-name","point-and-name","6yo",4,"usually"
"Cardiff_14","Cardiff","second","immediate","6yo",3,"usually"
"Cardiff_16","Cardiff","first","immediate","6yo",3,"usually"
"Cardiff_16","Cardiff","point-and-name","point-and-name","6yo",4,"usually"
"Cardiff_16","Cardiff","second","delayed","6yo",3,"usually"
"Cardiff_17","Cardiff","first","immediate","6yo",2,"usually"
"Cardiff_17","Cardiff","point-and-name","point-and-name","6yo",2,"usually"
"Cardiff_17","Cardiff","second","delayed","6yo",2,"usually"
"Cardiff_19","Cardiff","first","delayed","7yo",2,"usually"
"Cardiff_19","Cardiff","point-and-name","point-and-name","7yo",4,"usually"
"Cardiff_19","Cardiff","second","immediate","7yo",3,"usually"
"Cardiff_20","Cardiff","first","delayed","7yo",3,"usually"
"Cardiff_20","Cardiff","point-and-name","point-and-name","7yo",3,"usually"
"Cardiff_20","Cardiff","second","immediate","7yo",4,"usually"
"Cardiff_21","Cardiff","first","delayed","5yo",2,"never"
"Cardiff_21","Cardiff","point-and-name","point-and-name","5yo",1,"never"
"Cardiff_21","Cardiff","second","immediate","5yo",2,"never"
"Cardiff_22","Cardiff","first","delayed","7yo",2,"usually"
"Cardiff_22","Cardiff","point-and-name","point-and-name","7yo",2,"usually"
"Cardiff_22","Cardiff","second","immediate","7yo",3,"usually"
"Cardiff_23","Cardiff","first","immediate","7yo",2,"usually"
"Cardiff_23","Cardiff","point-and-name","point-and-name","7yo",1,"usually"
"Cardiff_23","Cardiff","second","delayed","7yo",1,"usually"
"Cardiff_24","Cardiff","first","delayed","10yo",4,"usually"
"Cardiff_24","Cardiff","point-and-name","point-and-name","10yo",3,"usually"
"Cardiff_24","Cardiff","second","immediate","10yo",4,"usually"
"Cardiff_25","Cardiff","first","delayed","10yo",3,"usually"
"Cardiff_25","Cardiff","point-and-name","point-and-name","10yo",3,"usually"
"Cardiff_25","Cardiff","second","immediate","10yo",3,"usually"
"Cardiff_26","Cardiff","first","immediate","10yo",3,"usually"
"Cardiff_26","Cardiff","point-and-name","point-and-name","10yo",4,"usually"
"Cardiff_26","Cardiff","second","delayed","10yo",1,"usually"
"Cardiff_27","Cardiff","first","delayed","10yo",4,"usually"
"Cardiff_27","Cardiff","point-and-name","point-and-name","10yo",5,"usually"
"Cardiff_27","Cardiff","second","immediate","10yo",5,"usually"
"Cardiff_28","Cardiff","first","delayed","10yo",4,"usually"
"Cardiff_28","Cardiff","point-and-name","point-and-name","10yo",4,"usually"
"Cardiff_28","Cardiff","second","immediate","10yo",4,"usually"
"Cardiff_29","Cardiff","first","immediate","10yo",4,"usually"
"Cardiff_29","Cardiff","point-and-name","point-and-name","10yo",4,"usually"
"Cardiff_29","Cardiff","second","delayed","10yo",3,"usually"
"Cardiff_30","Cardiff","first","delayed","10yo",4,"usually"
"Cardiff_30","Cardiff","point-and-name","point-and-name","10yo",4,"usually"
"Cardiff_30","Cardiff","second","immediate","10yo",5,"usually"
"Cardiff_31","Cardiff","first","immediate","10yo",5,"usually"
"Cardiff_31","Cardiff","point-and-name","point-and-name","10yo",3,"usually"
"Cardiff_31","Cardiff","second","delayed","10yo",4,"usually"
"Cardiff_32","Cardiff","first","delayed","10yo",2,"sometimes"
"Cardiff_32","Cardiff","point-and-name","point-and-name","10yo",1,"sometimes"
"Cardiff_32","Cardiff","second","immediate","10yo",3,"sometimes"
"Cardiff_33","Cardiff","first","immediate","5yo",3,"sometimes"
"Cardiff_33","Cardiff","point-and-name","point-and-name","5yo",2,"sometimes"
"Cardiff_33","Cardiff","second","delayed","5yo",1,"sometimes"
"Cardiff_34","Cardiff","first","immediate","6yo",1,"usually"
"Cardiff_34","Cardiff","point-and-name","point-and-name","6yo",1,"usually"
"Cardiff_34","Cardiff","second","delayed","6yo",1,"usually"
"Cardiff_35","Cardiff","first","delayed","5yo",3,"never"
"Cardiff_35","Cardiff","point-and-name","point-and-name","5yo",2,"never"
"Cardiff_35","Cardiff","second","immediate","5yo",2,"never"
"Cardiff_36","Cardiff","first","delayed","10yo",3,"usually"
"Cardiff_36","Cardiff","point-and-name","point-and-name","10yo",4,"usually"
"Cardiff_36","Cardiff","second","immediate","10yo",4,"usually"
"Cardiff_38","Cardiff","first","immediate","7yo",4,"usually"
"Cardiff_38","Cardiff","point-and-name","point-and-name","7yo",3,"usually"
"Cardiff_38","Cardiff","second","delayed","7yo",4,"usually"
"Cardiff_39","Cardiff","first","delayed","6yo",2,"never"
"Cardiff_39","Cardiff","point-and-name","point-and-name","6yo",3,"never"
"Cardiff_39","Cardiff","second","immediate","6yo",2,"never"
"Cardiff_40","Cardiff","first","delayed","10yo",2,"usually"
"Cardiff_40","Cardiff","point-and-name","point-and-name","10yo",3,"usually"
"Cardiff_40","Cardiff","second","immediate","10yo",4,"usually"
"Cardiff_41","Cardiff","first","immediate","5yo",2,"never"
"Cardiff_41","Cardiff","point-and-name","point-and-name","5yo",2,"never"
"Cardiff_41","Cardiff","second","delayed","5yo",1,"never"
"Cardiff_42","Cardiff","first","delayed","10yo",5,"usually"
"Cardiff_42","Cardiff","point-and-name","point-and-name","10yo",4,"usually"
"Cardiff_42","Cardiff","second","immediate","10yo",5,"usually"
"Cardiff_43","Cardiff","first","delayed","6yo",3,"usually"
"Cardiff_43","Cardiff","point-and-name","point-and-name","6yo",3,"usually"
"Cardiff_43","Cardiff","second","immediate","6yo",4,"usually"
"Cardiff_45","Cardiff","first","delayed","5yo",3,"usually"
"Cardiff_45","Cardiff","point-and-name","point-and-name","5yo",2,"usually"
"Cardiff_45","Cardiff","second","immediate","5yo",3,"usually"
"Cardiff_46","Cardiff","first","delayed","10yo",3,"usually"
"Cardiff_46","Cardiff","point-and-name","point-and-name","10yo",4,"usually"
"Cardiff_46","Cardiff","second","immediate","10yo",5,"usually"
"Cardiff_47","Cardiff","first","delayed","6yo",4,"usually"
"Cardiff_47","Cardiff","point-and-name","point-and-name","6yo",3,"usually"
"Cardiff_47","Cardiff","second","immediate","6yo",3,"usually"
"Cardiff_48","Cardiff","first","immediate","10yo",5,"usually"
"Cardiff_48","Cardiff","point-and-name","point-and-name","10yo",4,"usually"
"Cardiff_48","Cardiff","second","delayed","10yo",4,"usually"
"Cardiff_49","Cardiff","first","immediate","6yo",3,"usually"
"Cardiff_49","Cardiff","point-and-name","point-and-name","6yo",3,"usually"
"Cardiff_49","Cardiff","second","delayed","6yo",3,"usually"
"Cardiff_50","Cardiff","first","delayed","7yo",5,"sometimes"
"Cardiff_50","Cardiff","point-and-name","point-and-name","7yo",5,"sometimes"
"Cardiff_50","Cardiff","second","immediate","7yo",3,"sometimes"
"Cardiff_51","Cardiff","first","immediate","7yo",3,"usually"
"Cardiff_51","Cardiff","point-and-name","point-and-name","7yo",3,"usually"
"Cardiff_51","Cardiff","second","delayed","7yo",3,"usually"
"Cardiff_52","Cardiff","first","delayed","7yo",3,"usually"
"Cardiff_52","Cardiff","point-and-name","point-and-name","7yo",5,"usually"
"Cardiff_52","Cardiff","second","immediate","7yo",4,"usually"
"Cardiff_53","Cardiff","first","immediate","7yo",3,"usually"
"Cardiff_53","Cardiff","point-and-name","point-and-name","7yo",3,"usually"
"Cardiff_53","Cardiff","second","delayed","7yo",3,"usually"
"Cardiff_55","Cardiff","first","immediate","10yo",5,"usually"
"Cardiff_55","Cardiff","point-and-name","point-and-name","10yo",3,"usually"
"Cardiff_55","Cardiff","second","delayed","10yo",5,"usually"
"Cardiff_56","Cardiff","first","delayed","7yo",3,"usually"
"Cardiff_56","Cardiff","point-and-name","point-and-name","7yo",4,"usually"
"Cardiff_56","Cardiff","second","immediate","7yo",3,"usually"
"Cardiff_57","Cardiff","first","immediate","5yo",2,"usually"
"Cardiff_57","Cardiff","point-and-name","point-and-name","5yo",3,"usually"
"Cardiff_57","Cardiff","second","delayed","5yo",3,"usually"
"Cardiff_58","Cardiff","first","immediate","10yo",5,"usually"
"Cardiff_58","Cardiff","point-and-name","point-and-name","10yo",4,"usually"
"Cardiff_58","Cardiff","second","delayed","10yo",5,"usually"
"Cardiff_59","Cardiff","first","delayed","5yo",4,"usually"
"Cardiff_59","Cardiff","point-and-name","point-and-name","5yo",2,"usually"
"Cardiff_59","Cardiff","second","immediate","5yo",2,"usually"
"Cardiff_60","Cardiff","first","delayed","7yo",4,"usually"
"Cardiff_60","Cardiff","point-and-name","point-and-name","7yo",3,"usually"
"Cardiff_60","Cardiff","second","immediate","7yo",3,"usually"
"Cardiff_62","Cardiff","first","immediate","7yo",4,"usually"
"Cardiff_62","Cardiff","point-and-name","point-and-name","7yo",3,"usually"
"Cardiff_62","Cardiff","second","delayed","7yo",4,"usually"
"Cardiff_63","Cardiff","first","immediate","7yo",2,"usually"
"Cardiff_63","Cardiff","point-and-name","point-and-name","7yo",4,"usually"
"Cardiff_63","Cardiff","second","delayed","7yo",3,"usually"
"Cardiff_64","Cardiff","first","delayed","10yo",3,"usually"
"Cardiff_64","Cardiff","point-and-name","point-and-name","10yo",4,"usually"
"Cardiff_64","Cardiff","second","immediate","10yo",5,"usually"
"Cardiff_66","Cardiff","first","delayed","6yo",4,"usually"
"Cardiff_66","Cardiff","point-and-name","point-and-name","6yo",4,"usually"
"Cardiff_66","Cardiff","second","immediate","6yo",4,"usually"
"Cardiff_67","Cardiff","first","delayed","7yo",3,"usually"
"Cardiff_67","Cardiff","point-and-name","point-and-name","7yo",3,"usually"
"Cardiff_67","Cardiff","second","immediate","7yo",4,"usually"
"Cardiff_68","Cardiff","first","delayed","7yo",5,"usually"
"Cardiff_68","Cardiff","point-and-name","point-and-name","7yo",4,"usually"
"Cardiff_68","Cardiff","second","immediate","7yo",4,"usually"
"Cardiff_69","Cardiff","first","immediate","10yo",4,"usually"
"Cardiff_69","Cardiff","point-and-name","point-and-name","10yo",3,"usually"
"Cardiff_69","Cardiff","second","delayed","10yo",3,"usually"
"Cardiff_70","Cardiff","first","immediate","7yo",3,"usually"
"Cardiff_70","Cardiff","point-and-name","point-and-name","7yo",3,"usually"
"Cardiff_70","Cardiff","second","delayed","7yo",3,"usually"
"Cardiff_71","Cardiff","first","immediate","7yo",4,"usually"
"Cardiff_71","Cardiff","point-and-name","point-and-name","7yo",5,"usually"
"Cardiff_71","Cardiff","second","delayed","7yo",5,"usually"
"Cardiff_72","Cardiff","first","immediate","6yo",3,"usually"
"Cardiff_72","Cardiff","point-and-name","point-and-name","6yo",3,"usually"
"Cardiff_72","Cardiff","second","delayed","6yo",3,"usually"
"Cardiff_73","Cardiff","first","delayed","5yo",1,"never"
"Cardiff_73","Cardiff","point-and-name","point-and-name","5yo",2,"never"
"Cardiff_73","Cardiff","second","immediate","5yo",1,"never"
"Cardiff_74","Cardiff","first","delayed","10yo",5,"usually"
"Cardiff_74","Cardiff","point-and-name","point-and-name","10yo",5,"usually"
"Cardiff_74","Cardiff","second","immediate","10yo",5,"usually"
"Cardiff_75","Cardiff","first","immediate","5yo",2,"usually"
"Cardiff_75","Cardiff","point-and-name","point-and-name","5yo",2,"usually"
"Cardiff_75","Cardiff","second","delayed","5yo",2,"usually"
"Cardiff_76","Cardiff","first","delayed","10yo",5,"usually"
"Cardiff_76","Cardiff","point-and-name","point-and-name","10yo",5,"usually"
"Cardiff_76","Cardiff","second","immediate","10yo",5,"usually"
"Cardiff_77","Cardiff","first","delayed","5yo",2,"usually"
"Cardiff_77","Cardiff","point-and-name","point-and-name","5yo",3,"usually"
"Cardiff_77","Cardiff","second","immediate","5yo",2,"usually"
"Cardiff_78","Cardiff","first","delayed","6yo",4,"usually"
"Cardiff_78","Cardiff","point-and-name","point-and-name","6yo",4,"usually"
"Cardiff_78","Cardiff","second","immediate","6yo",4,"usually"
"Cardiff_79","Cardiff","first","delayed","6yo",4,"usually"
"Cardiff_79","Cardiff","point-and-name","point-and-name","6yo",1,"usually"
"Cardiff_79","Cardiff","second","immediate","6yo",3,"usually"
"Cardiff_80","Cardiff","first","delayed","6yo",2,"sometimes"
"Cardiff_80","Cardiff","point-and-name","point-and-name","6yo",2,"sometimes"
"Cardiff_80","Cardiff","second","immediate","6yo",3,"sometimes"
"Costa Rica_01","Costa Rica","first","delayed","10yo",5,"usually"
"Costa Rica_01","Costa Rica","point-and-name","point-and-name","10yo",4,"usually"
"Costa Rica_01","Costa Rica","second","immediate","10yo",4,"usually"
"Costa Rica_02","Costa Rica","first","delayed","10yo",4,"usually"
"Costa Rica_02","Costa Rica","point-and-name","point-and-name","10yo",5,"usually"
"Costa Rica_02","Costa Rica","second","immediate","10yo",5,"usually"
"Costa Rica_03","Costa Rica","first","immediate","10yo",4,"sometimes"
"Costa Rica_03","Costa Rica","point-and-name","point-and-name","10yo",4,"sometimes"
"Costa Rica_03","Costa Rica","second","delayed","10yo",4,"sometimes"
"Costa Rica_04","Costa Rica","first","immediate","10yo",3,"usually"
"Costa Rica_04","Costa Rica","point-and-name","point-and-name","10yo",4,"usually"
"Costa Rica_04","Costa Rica","second","delayed","10yo",4,"usually"
"Costa Rica_05","Costa Rica","first","delayed","10yo",5,"usually"
"Costa Rica_05","Costa Rica","point-and-name","point-and-name","10yo",4,"usually"
"Costa Rica_05","Costa Rica","second","immediate","10yo",5,"usually"
"Costa Rica_06","Costa Rica","first","immediate","10yo",2,"never"
"Costa Rica_06","Costa Rica","point-and-name","point-and-name","10yo",4,"never"
"Costa Rica_06","Costa Rica","second","delayed","10yo",4,"never"
"Costa Rica_07","Costa Rica","first","immediate","10yo",5,"never"
"Costa Rica_07","Costa Rica","point-and-name","point-and-name","10yo",3,"never"
"Costa Rica_07","Costa Rica","second","delayed","10yo",4,"never"
"Costa Rica_08","Costa Rica","first","delayed","10yo",3,"sometimes"
"Costa Rica_08","Costa Rica","point-and-name","point-and-name","10yo",3,"sometimes"
"Costa Rica_08","Costa Rica","second","immediate","10yo",3,"sometimes"
