condition,text,image,int1,int2,int3,att1,att2,att3,familiarity,Fluency,Fluency,Fluency,Gender,Age
1,1,1,6,5,6,8,8,8,5,2,2,2,1,28
1,1,1,4,5,5,6,5,6,6,2,2,2,0,20
1,1,1,5,6,6,8,8,8,7,1,1,1,0,35
1,1,1,6,6,6,7,7,7,6,6,6,6,0,31
1,1,1,3,3,3,5,4,7,4,1,1,1,1,30
1,1,1,7,7,7,9,9,9,7,1,1,1,0,36
1,1,1,5,5,5,8,7,9,7,3,3,2,1,31
1,1,1,4,4,4,5,5,5,7,5,5,5,0,46
1,1,1,6,6,6,8,8,8,4,1,1,1,1,28
1,1,1,6,6,6,9,9,9,3,1,1,1,0,24
1,1,1,2,2,2,6,6,7,6,1,1,1,1,27
1,1,1,1,1,1,5,5,8,7,1,1,1,0,62
1,1,1,4,5,4,8,7,7,6,3,3,2,1,40
0,1,0,2,2,2,5,5,5,1,4,4,4,1,27
0,1,0,5,6,5,7,6,7,6,2,3,2,0,34
0,1,0,2,2,2,5,5,7,7,1,1,1,0,33
0,1,0,7,7,7,9,9,9,4,4,4,4,0,49
0,1,0,2,5,5,8,9,9,6,2,4,1,1,23
0,1,0,4,4,4,7,7,7,6,6,6,6,0,36
0,1,0,3,4,5,5,5,5,6,3,3,4,1,23
0,1,0,3,3,3,5,5,7,7,2,2,1,1,26
0,1,0,5,5,5,7,7,7,7,2,2,2,0,42
0,1,0,2,2,2,6,6,8,6,6,6,6,0,27
0,1,0,4,4,5,8,8,8,7,1,1,1,0,64
0,1,0,5,6,5,7,8,8,6,3,2,2,0,21
0,1,0,4,4,4,5,6,7,7,3,3,3,0,30
0,1,0,2,2,2,3,3,7,7,2,2,3,1,29
0,1,0,5,4,3,8,6,4,5,5,3,3,1,25
0,1,0,5,6,5,5,7,9,7,3,3,3,1,34
0,1,0,6,7,6,8,8,8,6,6,6,6,1,50
0,1,0,2,2,2,5,5,5,5,2,2,2,0,32
0,1,0,2,2,2,8,8,8,7,1,1,1,0,57
0,1,0,4,2,4,7,7,4,5,3,5,5,1,27
0,1,0,5,5,6,8,8,9,6,1,2,1,0,42
0,1,0,3,3,3,6,6,7,7,2,2,2,1,49
0,1,0,1,2,3,5,5,5,7,5,5,5,0,28
0,1,0,1,1,1,5,4,9,7,3,2,3,1,43
0,1,0,5,5,5,8,8,8,7,4,4,4,1,24
0,1,0,7,7,7,9,9,9,7,1,1,1,0,45
0,1,0,6,7,7,9,9,9,6,1,1,1,0,35
0,1,0,3,3,3,4,4,4,7,1,1,1,1,29
0,1,0,4,4,4,5,4,4,7,4,4,4,0,61
0,1,0,5,5,4,8,8,8,7,1,1,1,0,37
0,1,0,6,6,6,9,9,9,4,1,1,1,0,53
0,1,0,4,4,4,7,6,7,4,3,3,3,0,27
0,1,0,2,1,2,2,1,1,7,2,3,1,1,25
0,1,0,1,1,1,5,5,6,7,1,1,1,1,24
0,1,0,7,7,7,9,9,1,7,1,1,1,0,44
0,1,0,4,5,5,5,4,7,7,1,1,1,0,26
0,1,0,5,6,5,7,7,7,7,1,1,1,1,31
0,1,0,3,5,5,7,7,8,7,1,1,1,0,22
0,1,0,5,5,5,7,7,7,5,3,3,3,0,26
0,1,0,4,4,4,5,5,7,7,2,2,2,0,37
0,1,0,3,4,5,7,6,8,5,6,6,4,1,22
0,1,0,4,6,6,7,7,8,6,2,3,2,0,43
0,1,0,5,6,6,8,8,9,6,2,2,2,0,50
0,1,0,1,1,1,5,5,5,7,1,1,1,0,33
0,1,0,6,7,6,9,9,9,1,2,2,2,0,61
0,1,0,3,5,3,6,7,9,7,1,1,1,1,41
0,1,0,6,6,7,9,9,9,7,1,1,1,1,39
