"PP","Start.Date","Prior","Prior_cons","Post","Post_cons","GE_Worry","GE_PolSupport","GE_Intention","Justification","ManCheck1","ManCheck2","ManCheck3","ManCheckBP1","ManCheckBP2","ManCheckBP3","BE_useful","BE_apply","ME_fair","ME_biased","ME_trust","ME_accur","ME_wholeStory","ME_factual","ME_factOpinion","OMC1","OMC2","OMC3","OMC4","OMC5","AC","OMC6","TrustScientists","Perc_knowledge","Topic_importance","Pol_affil","Pol_ideo","Nationality","Relig","Nat_heur","Age","Gender_MC","Gender_text","Education","Condition","PP_DS","PPcons_DS","Prior_c","OMCscore","BEscore","MEscore","Pol_affil_n","Pol_ideo_n","Pol_orient","ReadTimeInf","ReadTime_Mes","PracticeClaim1","PracticeClaim2","PracticeClaim3","countPT","countMCBP","MCComb","Consensus_mention_auto","countMC_auto"
"13","14-10-19 07:53",21,50,0,50,2,2,2,"I don't know enough about it to make a judgment on whether or not it is worse for health. ","assess who is making the claim","assess facts that support or don't support the claim","","","","",NA,NA,4,4,4,4,4,4,4,6,1,6,1,5,2,4,5,1,1,"Independent","Very liberal","United States of America","No",3,NA,NA,NA,"College / A levels","Consensus",-21,0,-29.7965179542982,1.83333333333333,NA,4,0,-1.84647522379509,-1.84647522379509,11.633,87.219,"No","No","Yes",3,NA,"assess who is making the claim assess facts that support or don't support the claim ","n",1
"14","14-10-19 07:51",4,29,44,59,5,5,6,"Factory food is all chemicals.","Title","Conclussion","","","It starts with a question - Evidence is gathered - A consensus develops - Evaluate a claim","Through this process we can figure out whether the claim is true with 100% certainty.",6,5,5,3,4,4,5,5,5,5,2,7,6,6,2,6,4,7,3,"Independent","Moderate","United States of America","No",7,NA,NA,NA,"Secondary school / GCSE","BoostPlus",40,30,-46.7965179542982,0.666666666666667,5.5,4.42857142857143,0,0,0,16.41,6.05,"No","Yes","Yes",2,1,"Title Conclussion ","n",0
"15","14-10-19 07:54",65,30,70,40,5,6,6,"I'm not entirely sure that genetically engineered food is worse for health factually, but personally I would think so. People have no idea what is in food that is artificially made and not natural.","Logic","Credibility","Grammar (if written)","","","",NA,NA,4,6,3,4,6,3,5,6,5,7,2,6,2,1,2,4,4,"Democrat","Liberal","United States of America","No",6,NA,NA,NA,"Secondary school / GCSE","Control",5,10,14.2034820457018,1.83333333333333,NA,4.42857142857143,-1.14191824257574,-0.923237611897546,-2.06515585447329,9.415,47.171,"No","Yes","No",1,NA,"Logic Credibility Grammar (if written)","n",0
"16","14-10-19 07:48",96,71,0,92,5,4,6,"After reading the article with 92% percent of scientists saying GE food is safe I really don't know if it is safer than non GE food or not. I still have a lot of questions about GE food and its potential effects on our health.","I carefully read the story.","I do research on the topic.","I don't assume to know all the answers beforehand.","","","",NA,NA,2,2,2,2,1,1,1,7,4,6,2,6,2,4,5,4,6,"Democrat","Moderate","United States of America","Yes",7,NA,NA,NA,"Secondary school / GCSE","Consensus",-96,21,45.2034820457018,1.5,NA,1.57142857142857,-1.14191824257574,0,-1.14191824257574,16.375,164.616,"No","Yes","No",1,NA,"I carefully read the story. I do research on the topic. I don't assume to know all the answers beforehand.","n",0
"17","14-10-19 07:55",18,69,-13,51,3,2,2,"It would depend on the regulations we must follow when genetically modifying food. I think that -13% sounds a bit harsh now, because I do believe it can be beneficial (and sometimes necessary) in some circumstances.  However, it is scary to think that my food is modified by other humans when I am uneducated about what exactly has been modified. There also seems like a lot of space for error during modification.","look at the source","consider previous information (usually most recent info)","weigh options","","","",NA,NA,2,3,3,3,6,4,4,5,1,5,3,4,2,2,5,2,5,"Democrat","Liberal","United States of America","No",5,NA,NA,NA,"Graduate degree (MA/MSc/MPhil/other)","Control",-31,-18,-32.7965179542982,1.33333333333333,NA,3.57142857142857,-1.14191824257574,-0.923237611897546,-2.06515585447329,11.448,44.853,"No","No","Yes",3,NA,"look at the source consider previous information (usually most recent info) weigh options","n",1
"18","14-10-19 07:54",11,54,-12,50,2,5,3,"I believe that GE food is not too different from selective breeding of crops that has happened for years on end.","Question","Evidence","Consensus","","It starts with a question - Evidence is gathered - A consensus develops - Evaluate a claim","The evidence is continuously discussed by scientists with the relevant expertise.",5,4,6,4,5,3,5,4,4,5,2,5,3,5,2,5,5,4,3,"Democrat","Liberal","United States of America","No",4,NA,NA,NA,"College / A levels","BoostPlus",-23,-4,-39.7965179542982,0.833333333333333,4.5,4.42857142857143,-1.14191824257574,-0.923237611897546,-2.06515585447329,10.979,11.377,"Yes","Yes","Yes",1,2,"Question Evidence Consensus","y",1
"19","14-10-19 07:49",80,50,-100,92,6,6,6,"Based on the facts given in the article, they are not worse for your health.","Identify the claim","Evaluate the evidence","Make a determnation","Vitamin supplements are good for your heart","Theory - deduction - evidence - conclusion","Through this process we can figure out whether the claim is true with 100% certainty.",5,5,1,3,1,1,3,1,1,7,1,7,1,7,2,1,7,1,6,"Democrat","Moderate","United States of America","No",7,NA,NA,NA,"Secondary school / GCSE","BoostPlus",-180,42,29.2034820457018,3,5,1.57142857142857,-1.14191824257574,0,-1.14191824257574,167.84,91.125,"Yes","No","No",1,1,"Identify the claim Evaluate the evidence Make a determnation","n",0
"20","14-10-19 08:00",20,75,10,75,3,2,4,"I have a gluten intolerance that I believe may be part of a larger problem of GE food.  I believe this could be affecting more people than we realize.","Compare my knowledge","See what % of people agree","See what % of experts agree","","","",NA,NA,2,5,3,3,2,3,2,5,5,6,4,5,2,4,5,4,5,"Independent Lean Democrat","Liberal","United States of America","No",3,NA,NA,NA,"Secondary school / GCSE","Control",-10,0,-30.7965179542982,0.5,NA,2.85714285714286,-0.570959121287871,-0.923237611897546,-1.49419673318542,12.324,43.83,"No","No","Yes",3,NA,"Compare my knowledge See what % of people agree See what % of experts agree","y",2
"21","14-10-19 07:55",20,30,-40,80,5,2,1,"I don't know how GE food is modified or what effects it can have on the human body. My gut feeling is that GE food has different health properties than non-GE food.","Consider the claim.","Consider who is making the claim.","Consider why they're making the claim.","Vitamin supplements are good for your heart","It starts with a question - Evidence is gathered - A consensus develops - Evaluate a claim","The evidence is continuously discussed by scientists with the relevant expertise.",4,4,3,5,4,3,5,3,3,5,6,5,3,5,2,4,5,1,1,"Independent Lean Republican","Conservative","United States of America","Yes",6,NA,NA,NA,"No formal qualification","BoostPlus",-60,50,-30.7965179542982,0.333333333333333,4,3.71428571428571,0.570959121287871,0.923237611897546,1.49419673318542,56.012,84.588,"No","No","No",2,3,"Consider the claim. Consider who is making the claim. Consider why they're making the claim.","n",1
"22","14-10-19 08:00",100,80,-70,95,3,3,3,"I believe that GE foods are better because it helps deal with strands of fungus that non-GE foods get. ","How much information is provided.","If the information is backed up with links of where the information came from. ","","","","",NA,NA,1,2,1,2,1,2,2,7,1,7,1,7,2,1,6,2,5,"Republican","Conservative","United States of America","Yes",7,NA,NA,NA,"College / A levels","Consensus",-170,15,49.2034820457018,3,NA,1.57142857142857,1.14191824257574,0.923237611897546,2.06515585447329,40.376,114.669,"No","No","Yes",3,NA,"How much information is provided. If the information is backed up with links of where the information came from.  ","n",0
"23","14-10-19 07:32",100,0,-85,92,6,1,1,"I did it after reading the scientific article and better understanding the information on the subject","that is studied in 95%","make it a study of a university","that the people who carry out the study belong to that field of work","","","I don’t know",5,6,1,1,1,1,1,1,4,7,1,1,3,7,2,2,6,2,6,"Democrat","Liberal","United States of America","Yes",7,NA,NA,NA,"Undergraduate degree (BA/BSc/other)","BoostPlus",-185,92,49.2034820457018,1.5,5.5,1.42857142857143,-1.14191824257574,-0.923237611897546,-2.06515585447329,3.606,105.331,"No","No","Yes",3,0,"that is studied in 95% make it a study of a university that the people who carry out the study belong to that field of work","n",2
"24","14-10-19 08:09",15,21,28,30,6,6,6,"I think food should be left alone and we shouldn't do things to genetically modify it. I think we should eat organic and natural foods and not mess with them because we don't know exactly what it would do to our bodies.","facts","source","opinion","","","",NA,NA,3,5,4,3,6,4,3,6,1,6,2,7,2,5,4,1,3,"Strong Democrat","Liberal","United States of America","No",7,NA,NA,NA,"College / A levels","Control",13,9,-35.7965179542982,1.83333333333333,NA,4,-1.71287736386361,-0.923237611897546,-2.63611497576116,4.263,24.276,"Yes","No","Yes",2,NA,"facts source opinion","n",1
"25","14-10-19 07:54",90,0,40,0,5,2,2,"because nothing will be healthier than natural","must be approved by the majority","must be studied in a university","researchers must belong to that area","","","",NA,NA,1,1,1,1,1,1,6,7,1,7,3,7,2,2,6,2,7,"Democrat","Liberal","United States of America","Yes",7,NA,NA,NA,"Undergraduate degree (BA/BSc/other)","Control",-50,0,39.2034820457018,2.5,NA,1.71428571428571,-1.14191824257574,-0.923237611897546,-2.06515585447329,25.084,43.711,"No","No","Yes",3,NA,"must be approved by the majority must be studied in a university researchers must belong to that area","n",1
"26","14-10-19 08:09",100,72,100,71,7,7,7,"anything that doesn't grow from the earth, that is produced or modified in a lab is food not to be trusted.","Common Sense","Scientific Facts that we know for sure","evaluation","","","",NA,NA,1,6,7,4,6,4,2,7,1,7,1,7,2,5,1,1,6,"Independent","Liberal","United States of America","No",1,NA,NA,NA,"Undergraduate degree (BA/BSc/other)","Consensus",0,-1,49.2034820457018,2.33333333333333,NA,4.28571428571429,0,-0.923237611897546,-0.923237611897546,8.336,62.485,"No","No","No",2,NA,"Common Sense Scientific Facts that we know for sure evaluation","n",0
"27","14-10-19 08:08",21,9,-62,92,2,1,1,"The article supported GE food and was backed up by lots of testimonials from reliable sources. However I am still not convinced. I would need to know of more GE foods and their test results.","who are the sources","what are the sources credentials","do they have an ulterior motive","","","",NA,NA,2,4,3,3,4,3,3,5,6,4,6,5,2,5,5,1,3,"Republican","Conservative","United States of America","No",5,NA,NA,NA,"Undergraduate degree (BA/BSc/other)","Consensus",-83,83,-29.7965179542982,-0.5,NA,3.14285714285714,1.14191824257574,0.923237611897546,2.06515585447329,10.597,85.162,"No","No","No",2,NA,"who are the sources what are the sources credentials do they have an ulterior motive","n",2
"28","14-10-19 08:05",-100,9,48,8,5,5,6,"Reading one article doesnt change my mind. Its unnatural food.","i think about if i know its true or not","research it online","","","","",NA,NA,4,2,4,4,4,4,3,6,3,5,2,6,2,2,5,5,3,"Independent","Moderate","United States of America","No",6,NA,NA,NA,"No formal qualification","Consensus",148,-1,-150.796517954298,1.66666666666667,NA,3.57142857142857,0,0,0,9.202,113.585,"Yes","Yes","No",0,NA,"i think about if i know its true or not research it online ","n",0
"29","14-10-19 08:06",84,50,-21,92,7,5,7,"I'm not 100% convinced it's not worse for health due to the ability to cherry pick an skew data to the desired result.","Consider the source","Find other sources if necessary","Consider the organization presenting the study","","","",NA,NA,4,5,4,2,6,1,1,6,1,7,1,6,2,1,2,4,6,"Strong Democrat","Very liberal","United States of America","No",7,NA,NA,NA,"Undergraduate degree (BA/BSc/other)","Consensus",-105,42,33.2034820457018,2.66666666666667,NA,3.28571428571429,-1.71287736386361,-1.84647522379509,-3.55935258765871,7.942,64.838,"No","No","Yes",3,NA,"Consider the source Find other sources if necessary Consider the organization presenting the study","n",1
"31","14-10-19 07:58",90,60,85,80,7,7,7,"I do not think it is safe, it is not natural. ","is it from a lot of people","sourse","expert of opinion","","It starts with a question - Evidence is gathered - A consensus develops - Evaluate a claim","Science provides answers to every question that you can think of by gathering evidence.",7,7,3,3,3,3,3,3,1,7,1,7,2,7,2,2,3,1,3,"Strong Republican","Very conservative","United States of America","Yes",7,NA,NA,NA,"Secondary school / GCSE","BoostPlus",-5,20,39.2034820457018,2.66666666666667,7,2.71428571428571,1.71287736386361,1.84647522379509,3.55935258765871,14.962,4.986,"Yes","Yes","No",0,1,"is it from a lot of people sourse expert of opinion","n",2
"32","14-10-19 08:10",69,25,-52,91,6,3,5,"After reading the article I believed that maybe GE food isnt so bad. Maybe its ok to eat.","Experts","Statements","Proof","","","",NA,NA,2,4,2,3,3,3,3,6,1,6,1,6,2,1,5,2,5,"Independent","Moderate","United States of America","Yes",6,NA,NA,NA,"Undergraduate degree (BA/BSc/other)","Consensus",-121,66,18.2034820457018,2.5,NA,2.85714285714286,0,0,0,9.474,68.673,"No","No","Yes",3,NA,"Experts Statements Proof","n",1
"33","14-10-19 08:11",80,25,13,75,4,4,5,"I still feel like genetically modified food is not natural and may not be as healthy as food that is not modified.","look at evidence ","interpret results","","","","",NA,NA,1,1,1,1,1,1,1,6,1,7,2,7,2,1,6,1,3,"Democrat","Liberal","United States of America","Yes",7,NA,NA,NA,"Undergraduate degree (BA/BSc/other)","Control",-67,50,29.2034820457018,2.66666666666667,NA,1,-1.14191824257574,-0.923237611897546,-2.06515585447329,7.011,31.301,"Yes","Yes","Yes",1,NA,"look at evidence  interpret results ","n",0
"34","14-10-19 08:06",62,18,-50,60,3,2,2,"I am still unsure as to what the long-term health effects are, but the fact that foods can be engineered in a positive way makes me think of the process in a better light. Anyone engineering bananas to resist fungus are likely working with health as a focus. ","I google the claim","I see if it is true from multiple sources","","","","",NA,NA,2,2,3,3,4,3,2,7,4,7,2,6,2,1,7,2,5,"Independent","Moderate","United States of America","Yes",5,NA,NA,NA,"Secondary school / GCSE","Control",-112,42,11.2034820457018,2.16666666666667,NA,2.71428571428571,0,0,0,10.452,166.355,"Yes","Yes","Yes",1,NA,"I google the claim I see if it is true from multiple sources ","n",1
"35","14-10-19 08:09",10,30,-60,92,2,1,2,"Well, the scientists believe that the bananas that are genetically engineered are safe to eat, so I will believe that until I receive further information","Make my own evaluation","Look to the research","Evaluate whether I need to change my mind","","","",NA,NA,3,3,3,4,5,3,3,5,3,6,5,3,2,3,6,2,2,"Republican","Conservative","United States of America","Yes",4,NA,NA,NA,"Undergraduate degree (BA/BSc/other)","Consensus",-70,62,-40.7965179542982,0.5,NA,3.42857142857143,1.14191824257574,0.923237611897546,2.06515585447329,10.026,92.855,"Yes","No","Yes",2,NA,"Make my own evaluation Look to the research Evaluate whether I need to change my mind","n",0
"36","14-10-19 08:12",33,30,6,25,4,4,4,"I'm honestly not sure. I would need to look more into GE Food to see what it entails. The banana thing didn't seem bad, but what else is being done? I want more information.  ","Find multiple sorces","Compare sorces","","","","",NA,NA,1,1,3,3,3,2,2,7,1,7,3,7,2,2,5,1,3,"Independent Lean Democrat","Liberal","United States of America","No",4,NA,NA,NA,"College / A levels","Control",-27,-5,-17.7965179542982,2.5,NA,2.14285714285714,-0.570959121287871,-0.923237611897546,-1.49419673318542,11.325,48.095,"No","No","No",2,NA,"Find multiple sorces Compare sorces ","n",1
"37","14-10-19 07:53",-100,19,100,40,7,7,7,"GENETICALLY ENGINEERED CROPS AND OCCURRENCE OF DISEASES AND CHRONIC CONDITIONS: The overall results of short-term and long-term animal studies with rodents and other animals and other data on GE-food nutrient and secondary compound composition convinces many  Kidney Disease: It has been hypothesized that kidney disease may have increased because GE proteins reached the kidney. The committee examined epidemiological data to determine whether there was a correlation between the consumption of GE foods and the prevalence of chronic kidney disease.  Thats why i gave 100% to the statement saying genetically engineered food is worse for health than non-GE food.  ","Kidney Disease","Gastrointestinal Tract Diseases","Autism Spectrum Disorder","","","",NA,NA,1,7,1,1,1,1,7,7,1,7,1,7,2,6,7,7,7,"Republican","Very liberal","United States of America","Yes",7,NA,NA,NA,"College / A levels","Consensus",200,21,-150.796517954298,2.16666666666667,NA,2.71428571428571,1.14191824257574,-1.84647522379509,-0.70455698121935,46.653,46.851,"Yes","No","Yes",2,NA,"Kidney Disease Gastrointestinal Tract Diseases Autism Spectrum Disorder","n",0
"38","14-10-19 08:13",50,36,50,32,5,4,5,"I feel that it is not organic food. It is processed food so our bodies usually work harder to break it down.","I look at the statement.","I research the claims.","I look at statistics. ","Vitamin supplements are good for your heart","It starts with a question - Evidence is gathered - A consensus develops - Evaluate a claim","The evidence is continuously discussed by scientists with the relevant expertise.",5,5,3,2,2,3,3,2,3,5,2,5,3,5,2,3,4,3,3,"Independent Lean Democrat","Liberal","United States of America","No",6,NA,NA,NA,"Undergraduate degree (BA/BSc/other)","BoostPlus",0,-4,-0.796517954298153,1.16666666666667,5,2.57142857142857,-0.570959121287871,-0.923237611897546,-1.49419673318542,7.35,10.177,"Yes","Yes","No",0,3,"I look at the statement. I research the claims. I look at statistics. ","n",0
"39","14-10-19 08:12",3,50,0,50,2,2,4,"I think it might depend on the modification. If something is modified, like in the case of the bananas, to prevent disease, it could be good. But if a modification makes something less healthy in order to save money or something, it could be worse. ","read the info","look for other sources that back it up","look for sources that conflict, and compare","Vitamin supplements are good for your heart","It starts with a question - Evidence is gathered - A consensus develops - Evaluate a claim","The evidence is continuously discussed by scientists with the relevant expertise.",7,7,2,6,4,4,4,4,2,7,1,7,1,7,2,1,7,4,4,"Independent","Very liberal","United States of America","No",4,NA,NA,NA,"College / A levels","BoostPlus",-3,0,-47.7965179542982,3,7,3.71428571428571,0,-1.84647522379509,-1.84647522379509,57.608,26.473,"No","Yes","Yes",2,3,"read the info look for other sources that back it up look for sources that conflict, and compare","n",1
"40","14-10-19 08:12",90,2,43,9,2,5,5,"While it may not necessarily be unhealthy or more harmful to eat GE food, I believe non-GE food will always be the better option.","Where the claim is coming from","How recent is the claim","Credibility of the source","","","",NA,NA,1,1,1,2,2,1,2,7,1,7,1,7,2,2,7,2,3,"Strong Democrat","Liberal","United States of America","No",4,NA,NA,NA,"Secondary school / GCSE","Control",-47,7,39.2034820457018,2.83333333333333,NA,1.42857142857143,-1.71287736386361,-0.923237611897546,-2.63611497576116,7.378,20.758,"Yes","Yes","Yes",1,NA,"Where the claim is coming from How recent is the claim Credibility of the source","n",1
"41","14-10-19 08:09",88,30,95,20,6,6,7,"these types of foods which are genetically engineered foods seem to have been tainted in some way or another. These are not thought to be whole fresh and many people believe that these types of foods have been drained of many of the good nutrients.","verify someones title to the claim ","use my own thought process as to if the claim has any substance. ","","","","",NA,NA,2,6,4,3,2,2,6,7,2,7,1,7,2,1,6,5,7,"Independent Lean Democrat","Moderate","United States of America","Yes",7,NA,NA,NA,"Undergraduate degree (BA/BSc/other)","Control",7,-10,37.2034820457018,2.83333333333333,NA,3.57142857142857,-0.570959121287871,0,-0.570959121287871,14.132,46.642,"No","No","Yes",3,NA,"verify someones title to the claim  use my own thought process as to if the claim has any substance.  ","n",0
"42","14-10-19 08:08",41,54,2,92,5,5,7,"I think natural food that is unprocessed is always better. Nobody really knows what hapens in our bodies when food is modifies or altered because a scientist decided that they could improve upon  the things that nature has given us. Researchers mat say  a gebetically modified food is okay today. 20years from now, we may find evidence that directly contradicts that claim.","Examine at the claim/read it","Evaluate it  myself","Review the evidence","Vitamin supplements are good for your heart","Introduction - Conducting research - Selecting the results - Making a consensus","Through this process we can figure out whether the claim is true with 100% certainty.",5,5,4,4,4,4,2,4,5,7,1,7,1,7,2,1,4,4,7,"Independent Lean Democrat","Moderate","United States of America","Yes",7,NA,NA,NA,"Undergraduate degree (BA/BSc/other)","BoostPlus",-39,38,-9.79651795429815,3,5,3.85714285714286,-0.570959121287871,0,-0.570959121287871,91.163,27.339,"Yes","Yes","No",0,1,"Examine at the claim/read it Evaluate it  myself Review the evidence","n",0
